0|iata_code|1|city_rus
MRA|MRA|Мисурата|Мисурата
MRB|MRB||
MRC|MRC|Колумбия|Колумбия
MRD|MRD|Мериба|Мериба
MRE|MRE|Мара-Лоджес|Мара-Лоджес
MRF|MRF||
MRG|MRG||
MRH|MRH|Мей-Ривер|Мей-Ривер
MRI|MRI|Анкораж|Анкораж
MRJ|MRJ|Маркала|Маркала
MRK|MRK|Марко Айленд|Марко Айленд
MRL|MRL|Майнерз-Лейк|Майнерз-Лейк
MRM|MRM|Манаре|Манаре
MRN|MRN||
MRO|MRO|Мастертон|Мастертон
MRP|MRP||
MRQ|MRQ|Мариндюк|Мариндюк
MRR|MRR||
MRS|MRS|Марсель|Марсель
MRT|MRT||
MRU|MRU||
MRV|MRV|Минеральные Воды|Минеральные Воды
MRW|MRW||
MRX|MRX||
MRY|MRY|Монтерей|Монтерей
MRZ|MRZ|Мори|Мори
MSA|MSA||
MSB|MSB||
MSC|MSC|Меса|Меса
MSD|MSD||
MSE|MSE||
MSF|MSF||
MSG|MSG|Матсайле|Матсайле
MSH|MSH|Масирах|Масирах
MSI|MSI|Масалембо|Масалембо
MSJ|MSJ|Мисава|Мисава
MSK|MSK|Мастик-Пойнт|Мастик-Пойнт
MSL|MSL|Шеффилд|Шеффилд
MSM|MSM|Маси-Манимба|Маси-Манимба
MSN|MSN||
MSO|MSO||
MSP|MSP|Миннеаполис|Миннеаполис
MSQ|MSQ|Минск|Минск
MSR|MSR|Муш|Муш
MSS|MSS||
MST|MST|Маастрихт|Маастрихт
MSU|MSU||
MSV|MSV||
MSW|MSW|Массава|Массава
MSX|MSX||
MSZ|MSZ||
MTA|MTA|Матамата|Матамата
MTB|MTB|Монте-Либано|Монте-Либано
MTC|MTC||
MTD|MTD||
MTE|MTE||
MTF|MTF|Мизан-Тефери|Мизан-Тефери
MTG|MTG||
MTH|MTH|Марафон|Марафон
MTI|MTI|Мостейрос|Мостейрос
MTJ|MTJ||
MTK|MTK||
MTL|MTL|Мейтленд|Мейтленд
MTM|MTM||
MTN|MTN|Балтимор|Балтимор
MTO|MTO||
MTP|MTP||
MTQ|MTQ|Митчелл|Митчелл
MTR|MTR|Монтериа|Монтериа
MTS|MTS||
MTT|MTT|Минатитлан|Минатитлан
MTU|MTU|Монтепуэс|Монтепуэс
MTV|MTV|Мота-Лава|Мота-Лава
MTW|MTW||
MTX|MTX||
MTY|MTY|Монтеррей|Монтеррей
MTZ|MTZ|Масада|Масада
MUA|MUA||
MUB|MUB|Мон|Мон
MUC|MUC|Мюнхен|Мюнхен
MUD|MUD||
MUE|MUE||
MUF|MUF|Мутинг|Мутинг
MUG|MUG|Мулеж|Мулеж
MUH|MUH||
MUI|MUI||
MUJ|MUJ|Муи|Муи
MUK|MUK||
MUL|MUL||
MUM|MUM|Мумиас|Мумиас
MUN|MUN|Матурин|Матурин
MUO|MUO||
MUP|MUP||
MUQ|MUQ||
MUR|MUR||
MUS|MUS||
MUT|MUT||
MUU|MUU||
MUV|MUV|Филадельфия|Филадельфия
MUW|MUW|Маскара|Маскара
MUX|MUX|Мултан|Мултан
MUY|MUY|Муйондзи|Муйондзи
MUZ|MUZ|Мусома|Мусома
MVA|MVA|Миватн|Миватн
MVB|MVB||
MVC|MVC||
MVD|MVD|Монтевидео|Монтевидео
MVE|MVE||
MVF|MVF||
MVG|MVG|Меван|Меван
MVH|MVH||
MVI|MVI|Манетай|Манетай
MVJ|MVJ|Мандевилль|Мандевилль
MVK|MVK||
MVL|MVL|Стоув|Стоув
MVM|MVM||
MVN|MVN||
MVO|MVO|Монго|Монго
MVP|MVP|Миту|Миту
MVQ|MVQ|Могилев|Могилев
MVR|MVR||
MVS|MVS||
MVT|MVT|Матайва|Матайва
MVU|MVU||
MVV|MVV|Межев|Межев
MVW|MVW||
MVX|MVX|Минвул|Минвул
MVZ|MVZ|Масвинго|Масвинго
MWA|MWA||
MWB|MWB||
MWC|MWC|Милуоки|Милуоки
MWD|MWD|Мьанвали|Мьанвали
MWE|MWE|Мерове|Мерове
MWF|MWF|Мево|Мево
MWG|MWG|Маравака|Маравака
MWH|MWH|Мозес Лейк|Мозес Лейк
MWI|MWI|Марамуни|Марамуни
MWJ|MWJ|Маттьюс-Ридж|Маттьюс-Ридж
MWK|MWK|Матак|Матак
MWL|MWL||
MWM|MWM||
MWN|MWN|Мвадуй|Мвадуй
MWO|MWO||
MWP|MWP|Маунтин|Маунтин
MWQ|MWQ|Магуэ|Магуэ
MWR|MWR||
MWS|MWS||
MWT|MWT||
MWU|MWU|Муссау|Муссау
MWV|MWV||
MWW|MWW||
MWY|MWY||
MWZ|MWZ|Мванза|Мванза
MXA|MXA||
MXB|MXB|Масамба|Масамба
MXC|MXC||
MXD|MXD||
MXE|MXE||
MXF|MXF||
MXG|MXG|Марлборо|Марлборо
MXH|MXH||
MXI|MXI|Мати|Мати
MXJ|MXJ|Минна|Минна
MXK|MXK|Миндик|Миндик
MXL|MXL||
MXM|MXM|Моромбе|Моромбе
MXN|MXN||
MXO|MXO||
MXP|MXP|Милан|Милан
MXQ|MXQ|Митчелл-Ривер|Митчелл-Ривер
MXR|MXR|Миргород|Миргород
MXS|MXS||
MXT|MXT|Майнтирано|Майнтирано
MXU|MXU||
MXV|MXV||
MXW|MXW||
MXX|MXX|Мора|Мора
MXY|MXY||
MXZ|MXZ|Мейсян|Мейсян
MYA|MYA||
MYB|MYB|Маюмба|Маюмба
MYC|MYC|Маракай|Маракай
MYD|MYD|Малинди|Малинди
MYE|MYE|Мияке-Жима|Мияке-Жима
MYF|MYF|Сан Диего|Сан Диего
MYG|MYG||
MYH|MYH||
MYI|MYI||
MYJ|MYJ|Мацуяма|Мацуяма
MYK|MYK||
MYL|MYL||
MYM|MYM|Манки-Маунтин|Манки-Маунтин
MYN|MYN|Мариб|Мариб
MYO|MYO|Майруда|Майруда
MYP|MYP||
MYQ|MYQ|Майсор|Майсор
MYR|MYR|Миртл Бич|Миртл Бич
MYS|MYS|Мояль|Мояль
MYT|MYT|Мьиткьина|Мьиткьина
MYU|MYU||
MYV|MYV||
MYW|MYW|Мтвара|Мтвара
MYX|MYX|Меньямья|Меньямья
MYY|MYY|Мири|Мири
MYZ|MYZ||
MZA|MZA|Музаффарнагар|Музаффарнагар
MZB|MZB||
MZC|MZC|Мицик|Мицик
MZD|MZD|Мендес|Мендес
MZE|MZE|Манати|Манати
MZF|MZF||
MZG|MZG|Макунг|Макунг
MZH|MZH|Мерзифон|Мерзифон
MZI|MZI||
MZJ|MZJ||
MZK|MZK|Маракеи|Маракеи
MZL|MZL|Манисалес|Манисалес
MZM|MZM|Мец|Мец
MZN|MZN|Миндж|Миндж
MZO|MZO|Манзанилло|Манзанилло
MZP|MZP|Мотуэка|Мотуэка
MZQ|MZQ|Мкуз|Мкуз
MZR|MZR||
MZS|MZS|Мостин|Мостин
MZT|MZT|Мазатлан|Мазатлан
MZU|MZU|Музаффарпур|Музаффарпур
MZV|MZV||
MZW|MZW||
MZX|MZX|Мена|Мена
MZY|MZY|Залив Моссел|Залив Моссел
MZZ|MZZ||
NAA|NAA||
NAB|NAB|Олбани|Олбани
NAC|NAC||
NAD|NAD|Маканал|Маканал
NAE|NAE|Натитингу|Натитингу
NAF|NAF|Банаина|Банаина
NAG|NAG|Нагпур|Нагпур
NAH|NAH||
NAI|NAI|Аннаи|Аннаи
NAJ|NAJ|Нахичевань|Нахичевань
NAK|NAK|Натхон Ратчасима|Натхон Ратчасима
NAL|NAL|Нальчик|Нальчик
NAM|NAM|Намлеа|Намлеа
NAN|NAN|Фиджи-Нади|Фиджи-Нади
NAO|NAO|Наньчон|Наньчон
NAP|NAP||
NAQ|NAQ||
NAR|NAR|Наре|Наре
NAS|NAS||
NAT|NAT|Наталь|Наталь
NAU|NAU||
NAV|NAV|Невсехир|Невсехир
NAW|NAW|Наративат|Наративат
NAX|NAX||
NAY|NAY|Пекин|Пекин
NAZ|NAZ||
NBA|NBA||
NBB|NBB|Барранкоминас|Барранкоминас
NBC|NBC|Набережные Челны|Набережные Челны
NBG|NBG|Новый Орлеан|Новый Орлеан
NBH|NBH|Намбука Хэдс|Намбука Хэдс
NBL|NBL|Сан-Блас|Сан-Блас
NBO|NBO|Найроби|Найроби
NBP|NBP|Нью-Йорк|Нью-Йорк
NBR|NBR||
NBU|NBU||
NBV|NBV||
NBW|NBW|Гуантанамо|Гуантанамо
NBX|NBX|Набире|Набире
NCA|NCA|Норт-Кайкос|Норт-Кайкос
NCG|NCG||
NCH|NCH|Начингвеа|Начингвеа
NCI|NCI|Некокли|Некокли
NCL|NCL|Ньюкасл|Ньюкасл
NCN|NCN||
NCO|NCO||
NCP|NCP||
NCQ|NCQ||
NCR|NCR|Сан Карлос|Сан Карлос
NCS|NCS|Ньюкасл|Ньюкасл
NCT|NCT|Никоя|Никоя
NCU|NCU|Нукус|Нукус
NCY|NCY|Аннеси|Аннеси
NDA|NDA|Банданаира|Банданаира
NDB|NDB|Нуакдибу|Нуакдибу
NDC|NDC|Нандед|Нандед
NDD|NDD|Сумбе|Сумбе
NDE|NDE|Мандера|Мандера
NDF|NDF||
NDG|NDG|Цицихар|Цицихар
NDI|NDI|Намиди|Намиди
NDJ|NDJ||
NDK|NDK||
NDL|NDL|Нделе|Нделе
NDM|NDM|Менди|Менди
NDN|NDN||
NDO|NDO||
NDP|NDP||
NDR|NDR|Надор|Надор
NDS|NDS||
NDU|NDU|Рунду|Рунду
NDV|NDV||
NDY|NDY||
NDZ|NDZ||
NEA|NEA||
NEC|NEC|Некочеа|Некочеа
NEF|NEF|Нефтекамск|Нефтекамск
NEG|NEG|Негрил|Негрил
NEJ|NEJ||
NEK|NEK||
NEL|NEL||
NEN|NEN||
NER|NER|Нерюнгри|Нерюнгри
NES|NES|Нью-Йорк|Нью-Йорк
NET|NET||
NEU|NEU||
NEV|NEV||
NEW|NEW|Новый Орлеан|Новый Орлеан
NFB|NFB||
NFG|NFG|Нефтеюганск|Нефтеюганск
NFL|NFL||
NFR|NFR||
NGA|NGA||
NGB|NGB|Нинбо|Нинбо
NGC|NGC||
NGD|NGD|Анегада|Анегада
NGE|NGE||
NGI|NGI||
NGL|NGL||
NGM|NGM|Агана|Агана
NGN|NGN|Наргана|Наргана
NGP|NGP|Корпус Кристи|Корпус Кристи
NGR|NGR||
NGS|NGS|Нагасаки|Нагасаки
NGU|NGU||
NGV|NGV||
NGW|NGW|Корпус Кристи|Корпус Кристи
NGX|NGX|Мананг|Мананг
NGZ|NGZ||
NHA|NHA|Нха Транг|Нха Транг
NHD|NHD||
NHF|NHF|Нью-Халфа|Нью-Халфа
NHK|NHK||
NHS|NHS|Нушки|Нушки
NHT|NHT||
NHV|NHV||
NHX|NHX||
NHZ|NHZ||
NIA|NIA|Нимба|Нимба
NIB|NIB||
NIC|NIC|Никозия|Никозия
NIE|NIE||
NIF|NIF||
NIG|NIG|Никунау|Никунау
NIK|NIK|Ниоколо-Коба|Ниоколо-Коба
NIM|NIM|Ниамей|Ниамей
NIN|NIN||
NIO|NIO|Ниоки|Ниоки
NIP|NIP||
NIR|NIR||
NIS|NIS||
NIT|NIT|Ниорт|Ниорт
NIX|NIX|Ниоро|Ниоро
NJA|NJA|Ацуги|Ацуги
NJC|NJC|Нижневартовск|Нижневартовск
NJK|NJK||
NKA|NKA|Нкан|Нкан
NKB|NKB||
NKC|NKC|Нуакшот|Нуакшот
NKD|NKD||
NKG|NKG||
NKI|NKI||
NKL|NKL|Нколо|Нколо
NKM|NKM|Нагойя|Нагойя
NKN|NKN|Нанкина|Нанкина
NKO|NKO||
NKS|NKS||
NKU|NKU|Нкаус|Нкаус
NKV|NKV||
NKX|NKX|Сан Диего|Сан Диего
NKY|NKY|Нкайи|Нкайи
NLA|NLA||
NLC|NLC||
NLD|NLD||
NLE|NLE||
NLF|NLF||
NLG|NLG||
NLK|NLK|Норфолк Айленд|Норфолк Айленд
NLL|NLL||
NLP|NLP|Нельспрут|Нельспрут
NLS|NLS||
NLU|NLU||
NLV|NLV|Николаев|Николаев
NMA|NMA|Наманган|Наманган
NMB|NMB|Даман|Даман
NME|NME||
NMG|NMG|Сан-Мигель|Сан-Мигель
NMN|NMN||
NMP|NMP||
NMR|NMR||
NMS|NMS|Намсанг|Намсанг
NMT|NMT|Намту|Намту
NMU|NMU|Наму|Наму
NNA|NNA|Кенитра|Кенитра
NNB|NNB|Санта-Ана|Санта-Ана
NND|NND|Нангаде|Нангаде
NNG|NNG|Наньнин|Наньнин
NNI|NNI|Намутони|Намутони
NNK|NNK||
NNL|NNL||
NNM|NNM|Нарьян-Мар|Нарьян-Мар
NNR|NNR||
NNT|NNT|Нан|Нан
NNU|NNU||
NNX|NNX|Нунукан|Нунукан
NNY|NNY|Наньян|Наньян
NOA|NOA||
NOB|NOB|Носара-Бич|Носара-Бич
NOC|NOC|Нок|Нок
NOD|NOD|Норден|Норден
NOE|NOE|Норддайх|Норддайх
NOG|NOG|Ногалес|Ногалес
NOH|NOH|Чикаго|Чикаго
NOI|NOI|Новороссийск|Новороссийск
NOJ|NOJ|Ноябрьск|Ноябрьск
NOK|NOK|Нова-Шавантина|Нова-Шавантина
NOL|NOL||
NOM|NOM|Номад-Ривер|Номад-Ривер
NON|NON||
NOO|NOO|Наоро|Наоро
NOR|NOR|Нордфьордур|Нордфьордур
NOS|NOS||
NOT|NOT||
NOU|NOU||
NOV|NOV||
NOZ|NOZ|Новокузнецк|Новокузнецк
NPA|NPA||
NPE|NPE|Напье-Хастингс|Напье-Хастингс
NPG|NPG|Нипа|Нипа
NPH|NPH||
NPL|NPL|Нью-Плимут|Нью-Плимут
NPO|NPO|Нангапинох|Нангапинох
NPP|NPP||
NPT|NPT||
NPU|NPU||
NQA|NQA||
NQI|NQI||
NQL|NQL||
NQN|NQN|Неукен|Неукен
NQT|NQT||
NQU|NQU|Нуки|Нуки
NQX|NQX|Ки Уэст|Ки Уэст
NQY|NQY||
NRA|NRA||
NRB|NRB||
NRC|NRC||
NRD|NRD|Нордерней|Нордерней
NRE|NRE||
NRG|NRG||
NRI|NRI||
NRK|NRK|Ноггкопинг|Ноггкопинг
NRL|NRL||
NRM|NRM|Нара|Нара
NRN|NRN|Дюссельдорф|Дюссельдорф
NRR|NRR||
NRS|NRS||
NRT|NRT|Токио|Токио
NRV|NRV|Гуам|Гуам
NRY|NRY||
NSA|NSA|Нуса|Нуса
NSB|NSB||
NSE|NSE||
NSF|NSF||
NSH|NSH||
NSI|NSI|Яунде|Яунде
NSM|NSM||
NSN|NSN|Нельсон|Нельсон
NSO|NSO||
NSP|NSP|Сангли-Пойнт|Сангли-Пойнт
NST|NST|Након-Си-Таммарат|Након-Си-Таммарат
NSV|NSV||
NSX|NSX||
NSY|NSY|Токат|Токат
NTA|NTA|Натадола|Натадола
NTB|NTB|Нутодден|Нутодден
NTC|NTC|Санта-Каролина|Санта-Каролина
NTD|NTD||
NTE|NTE|Нант|Нант
NTG|NTG|Наньтун|Наньтун
NTI|NTI|Бинтуни|Бинтуни
NTJ|NTJ||
NTL|NTL|Ньюкасл|Ньюкасл
NTM|NTM||
NTN|NTN||
NTO|NTO|Санто-Антао|Санто-Антао
NTQ|NTQ||
NTR|NTR|Тухтла-Гутьеррес|Тухтла-Гутьеррес
NTT|NTT|Ниуатопутапу|Ниуатопутапу
NTU|NTU||
NTX|NTX|Натуна-Ранай|Натуна-Ранай
NTY|NTY|Сан Сити|Сан Сити
NUB|NUB||
NUD|NUD|Эн-Нахуд|Эн-Нахуд
NUF|NUF||
NUG|NUG|Нугуриа|Нугуриа
NUH|NUH|Нунчиа|Нунчиа
NUI|NUI||
NUJ|NUJ||
NUK|NUK||
NUL|NUL||
NUN|NUN||
NUP|NUP||
NUQ|NUQ||
NUR|NUR||
NUS|NUS|Норсуп|Норсуп
NUT|NUT|Нутуве|Нутуве
NUU|NUU|Накуру|Накуру
NUW|NUW||
NUX|NUX|Новый Уренгой|Новый Уренгой
NVA|NVA|Нейва|Нейва
NVD|NVD||
NVG|NVG|Нуэва-Гуинея|Нуэва-Гуинея
NVI|NVI|Навой|Навой
NVK|NVK|Нарвик|Нарвик
NVP|NVP||
NVR|NVR|Новгород|Новгород
NVS|NVS|Неверс|Неверс
NVT|NVT|Навегантес|Навегантес
NVY|NVY|Нейвели|Нейвели
NWA|NWA|Моэли|Моэли
NWH|NWH||
NWI|NWI|Норвич|Норвич
NWP|NWP||
NWS|NWS|Нью-Йорк|Нью-Йорк
NWT|NWT|Новата|Новата
NWU|NWU||
NXX|NXX||
NYE|NYE|Ньери|Ньери
NYG|NYG||
NYI|NYI|Суньяни|Суньяни
NYK|NYK|Нануки|Нануки
NYM|NYM|Надым|Надым
NYN|NYN||
NYO|NYO|Стокгольм|Стокгольм
NYU|NYU||
NZA|NZA||
NZE|NZE||
NZH|NZH||
NZO|NZO|Нзоя|Нзоя
NZW|NZW||
NZY|NZY|Сан Диего|Сан Диего
OAG|OAG|Орандж|Орандж
OAJ|OAJ||
OAK|OAK||
OAL|OAL||
OAM|OAM|Оамару|Оамару
OAN|OAN|Оланчито|Оланчито
OAR|OAR||
OAX|OAX|Оксака|Оксака
OBA|OBA|Обан|Обан
OBC|OBC|Обок|Обок
OBD|OBD|Обано|Обано
OBE|OBE||
OBF|OBF||
OBI|OBI|Обидос|Обидос
OBL|OBL||
OBM|OBM|Моропе|Моропе
OBN|OBN|Обан|Обан
OBO|OBO|Обихиро|Обихиро
OBS|OBS|Обенас|Обенас
OBT|OBT||
OBU|OBU||
OBX|OBX|Обо|Обо
OBY|OBY||
OCA|OCA||
OCC|OCC|Кока|Кока
OCE|OCE||
OCF|OCF|Окала|Окала
OCH|OCH||
OCI|OCI||
OCJ|OCJ|Очо Риос|Очо Риос
OCN|OCN|Оушнсайд|Оушнсайд
OCV|OCV|Окана|Окана
OCW|OCW||
ODA|ODA|Уадда|Уадда
ODB|ODB|Кордова|Кордова
ODD|ODD||
ODE|ODE|Оденсе|Оденсе
ODH|ODH||
ODJ|ODJ|Уанда-Джалле|Уанда-Джалле
ODL|ODL||
ODN|ODN||
ODR|ODR||
ODS|ODS|Одесса|Одесса
ODW|ODW||
ODY|ODY|Удомхей|Удомхей
OEA|OEA|Винсенн|Винсенн
OEC|OEC|Окусси|Окусси
OEL|OEL|Орел|Орел
OEM|OEM|Паломеу|Паломеу
OEO|OEO||
OER|OER|Орнсколдсвик|Орнсколдсвик
OES|OES||
OFI|OFI||
OFJ|OFJ|Олаффьордур|Олаффьордур
OFK|OFK||
OFU|OFU||
OGA|OGA||
OGB|OGB||
OGD|OGD|Огден|Огден
OGE|OGE|Огерананг|Огерананг
OGG|OGG||
OGL|OGL|Огле|Огле
OGN|OGN|Йонагуни-Жима|Йонагуни-Жима
OGO|OGO||
OGR|OGR|Бонгор|Бонгор
OGS|OGS||
OGV|OGV||
OGX|OGX|Уаргла|Уаргла
OGZ|OGZ|Владикавказ|Владикавказ
OHA|OHA||
OHC|OHC||
OHD|OHD|Охрид|Охрид
OHI|OHI|Ошакати|Ошакати
OHO|OHO|Охотск|Охотск
OHP|OHP|Обан|Обан
OHR|OHR||
OHT|OHT|Кохат|Кохат
OIA|OIA||
OIC|OIC|Норвич|Норвич
OIL|OIL||
OIM|OIM||
OIR|OIR|Окусири|Окусири
OIT|OIT|Оита|Оита
OJC|OJC|Канзас Сити|Канзас Сити
OKA|OKA|Окинава|Окинава
OKB|OKB|Орхид-Бич|Орхид-Бич
OKC|OKC|Оклахома Сити|Оклахома Сити
OKD|OKD|Саппоро|Саппоро
OKE|OKE|Окино-Эрабу|Окино-Эрабу
OKF|OKF|Окаукуйэхо|Окаукуйэхо
OKG|OKG|Окойо|Окойо
OKH|OKH||
OKI|OKI|Оки-Айленд|Оки-Айленд
OKJ|OKJ|Окаяма|Окаяма
OKK|OKK||
OKL|OKL|Оксибил|Оксибил
OKM|OKM||
OKN|OKN|Оконджа|Оконджа
OKO|OKO|Токио|Токио
OKP|OKP|Оксапмин|Оксапмин
OKQ|OKQ|Окаба|Окаба
OKR|OKR||
OKS|OKS||
OKT|OKT|Октябрьский|Октябрьский
OKU|OKU||
OKV|OKV||
OKY|OKY||
OLA|OLA|Орланд|Орланд
OLB|OLB||
OLD|OLD||
OLE|OLE||
OLF|OLF||
OLH|OLH||
OLI|OLI|Олафсвик|Олафсвик
OLJ|OLJ|Олпой|Олпой
OLK|OLK||
OLM|OLM|Олимпия|Олимпия
OLN|OLN||
OLO|OLO|Оломоуц|Оломоуц
OLP|OLP||
OLQ|OLQ|Олсобип|Олсобип
OLS|OLS|Ногалес|Ногалес
OLU|OLU||
OLV|OLV||
OLY|OLY||
OMA|OMA|Омаха|Омаха
OMB|OMB|Омбуэ|Омбуэ
OMC|OMC|Ормок|Ормок
OMD|OMD|Ораньемунд|Ораньемунд
OME|OME||
OMF|OMF||
OMG|OMG|Омега|Омега
OMH|OMH|Урмиех|Урмиех
OMI|OMI||
OMJ|OMJ|Омура|Омура
OMK|OMK||
OML|OML|Омкалай|Омкалай
OMM|OMM|Мармул|Мармул
OMN|OMN|Османабад|Османабад
OMO|OMO|Мостар|Мостар
OMR|OMR|Орадя|Орадя
OMS|OMS|Омск|Омск
OMY|OMY||
ONA|ONA||
ONB|ONB|Ононге|Ононге
OND|OND|Ондангва|Ондангва
ONE|ONE||
ONG|ONG||
ONH|ONH||
ONI|ONI|Моанамани|Моанамани
ONJ|ONJ||
ONL|ONL||
ONM|ONM||
ONN|ONN||
ONO|ONO||
ONP|ONP||
ONQ|ONQ|Зонгулдаг|Зонгулдаг
ONR|ONR||
ONS|ONS||
ONT|ONT||
ONU|ONU|Оно-И-Лау|Оно-И-Лау
ONX|ONX|Колон|Колон
ONY|ONY||
OOA|OOA||
OOK|OOK||
OOL|OOL||
OOM|OOM|Коома|Коома
OOR|OOR||
OOT|OOT|Онотоа|Онотоа
OPA|OPA|Копаскер|Копаскер
OPB|OPB|Опен-Бей|Опен-Бей
OPF|OPF|Майами|Майами
OPI|OPI||
OPL|OPL||
OPO|OPO|Порто|Порто
OPS|OPS|Синоп|Синоп
OPU|OPU|Балимо|Балимо
OPW|OPW|Опува|Опува
ORA|ORA|Оран|Оран
ORB|ORB|Оребро|Оребро
ORC|ORC|Ороке|Ороке
ORD|ORD||
ORE|ORE|Орлеан|Орлеан
ORF|ORF||
ORG|ORG||
ORH|ORH||
ORI|ORI||
ORJ|ORJ|Ориндук|Ориндук
ORK|ORK|Корк|Корк
ORL|ORL|Орландо|Орландо
ORM|ORM||
ORN|ORN|Оран|Оран
ORO|ORO|Йоро|Йоро
ORP|ORP|Орапа|Орапа
ORQ|ORQ||
ORR|ORR||
ORS|ORS||
ORT|ORT||
ORU|ORU|Оруро|Оруро
ORV|ORV||
ORW|ORW|Ормара|Ормара
ORX|ORX||
ORY|ORY|Париж|Париж
ORZ|ORZ|Ориндж-Уолк|Ориндж-Уолк
OSB|OSB||
OSC|OSC||
OSD|OSD|Остерсанд|Остерсанд
OSE|OSE|Омора|Омора
OSG|OSG||
OSH|OSH||
OSI|OSI|Осиек|Осиек
OSK|OSK|Оскархамн|Оскархамн
OSL|OSL|Осло|Осло
OSM|OSM|Мосул|Мосул
OSN|OSN||
OSP|OSP|Слупск|Слупск
OSR|OSR|Острава|Острава
OSS|OSS|Ош|Ош
OST|OST||
OSU|OSU||
OSW|OSW|Орск|Орск
OSX|OSX||
OSY|OSY|Намсус|Намсус
OSZ|OSZ|Кошалин|Кошалин
OTA|OTA||
OTC|OTC|Бол|Бол
OTD|OTD|Контадора|Контадора
OTG|OTG||
OTH|OTH||
OTI|OTI||
OTJ|OTJ|Отьиваронго|Отьиваронго
OTL|OTL|Бутилимит|Бутилимит
OTM|OTM||
OTN|OTN||
OTO|OTO||
OTP|OTP|Бухарест|Бухарест
OTR|OTR|Кото-47|Кото-47
OTS|OTS||
OTU|OTU|Оту|Оту
OTV|OTV||
OTY|OTY|Ориа|Ориа
OTZ|OTZ||
OUA|OUA|Уагадугу|Уагадугу
OUD|OUD|Уджда|Уджда
OUE|OUE|Уэссо|Уэссо
OUG|OUG|Уахигоуя|Уахигоуя
OUH|OUH|Оудсхорн|Оудсхорн
OUI|OUI||
OUK|OUK||
OUL|OUL|Оулу|Оулу
OUM|OUM||
OUN|OUN||
OUR|OUR|Батури|Батури
OUS|OUS||
OUT|OUT|Буссо|Буссо
OUU|OUU||
OUZ|OUZ|Зурате|Зурате
OVA|OVA|Бекили|Бекили
OVB|OVB|Новосибирск|Новосибирск
OVD|OVD||
OVE|OVE||
OVG|OVG||
OVL|OVL|Овайе|Овайе
OVR|OVR||
OWA|OWA||
OWB|OWB||
OWD|OWD||
OWE|OWE|Овендо|Овендо
OWK|OWK||
OXB|OXB||
OXC|OXC||
OXD|OXD||
OXF|OXF|Оксфорд|Оксфорд
OXO|OXO||
OXR|OXR|Вентура|Вентура
OXY|OXY||
OYA|OYA|Гоя|Гоя
OYE|OYE|Оем|Оем
OYG|OYG|Мойо|Мойо
OYK|OYK||
OYL|OYL|Мояль|Мояль
OYN|OYN||
OYO|OYO|Трес-Арройос|Трес-Арройос
OYP|OYP||
OYS|OYS||
OZA|OZA||
OZC|OZC|Озамис-Сити|Озамис-Сити
OZH|OZH|Запорожье|Запорожье
OZI|OZI||
OZP|OZP||
OZR|OZR||
OZU|OZU||
OZZ|OZZ|Уазазат|Уазазат
PAA|PAA||
PAB|PAB|Биласпур|Биласпур
PAC|PAC|Панама Сити|Панама Сити
PAD|PAD||
PAE|PAE|Эверетт|Эверетт
PAF|PAF|Пакуба|Пакуба
PAG|PAG|Пагадиан|Пагадиан
PAH|PAH||
PAI|PAI|Пайлинь|Пайлинь
PAJ|PAJ|Пара-Чинар|Пара-Чинар
PAK|PAK||
PAL|PAL|Паланкеро|Паланкеро
PAM|PAM|Панама Сити|Панама Сити
PAN|PAN|Паттани|Паттани
PAO|PAO|Пало Альто|Пало Альто
PAP|PAP||
PAQ|PAQ||
PAS|PAS|Парос|Парос
PAT|PAT|Патна|Патна
PAU|PAU|Паук|Паук
PAV|PAV||
PAW|PAW|Памбва|Памбва
PAX|PAX||
PAY|PAY||
PAZ|PAZ|Поса-Рика|Поса-Рика
PBA|PBA||
PBB|PBB||
PBC|PBC||
PBD|PBD|Порбандар|Порбандар
PBE|PBE|Пуэрто-Беррио|Пуэрто-Беррио
PBF|PBF||
PBG|PBG||
PBH|PBH|Паро|Паро
PBI|PBI|Уест Палм Бич|Уест Палм Бич
PBJ|PBJ|Паама|Паама
PBK|PBK||
PBL|PBL||
PBM|PBM||
PBN|PBN|Порту-Амбоим|Порту-Амбоим
PBO|PBO||
PBP|PBP||
PBQ|PBQ||
PBR|PBR|Пуэрто Барриос|Пуэрто Барриос
PBS|PBS|Патонг-Бич|Патонг-Бич
PBT|PBT||
PBU|PBU|Путао|Путао
PBV|PBV||
PBW|PBW|Палибело|Палибело
PBX|PBX||
PBY|PBY||
PBZ|PBZ|Плеттенберг-Бей|Плеттенберг-Бей
PCA|PCA||
PCB|PCB|Джакарта|Джакарта
PCC|PCC|Пуэрто Рико|Пуэрто Рико
PCD|PCD||
PCE|PCE||
PCG|PCG|Пасо-Кабаллос|Пасо-Кабаллос
PCH|PCH|Палачос|Палачос
PCJ|PCJ||
PCK|PCK||
PCL|PCL|Пукальпа|Пукальпа
PCM|PCM||
PCN|PCN|Пиктон|Пиктон
PCO|PCO|Пунта-Колораде|Пунта-Колораде
PCP|PCP||
PCQ|PCQ||
PCR|PCR|Пуэрто-Каррено|Пуэрто-Каррено
PCS|PCS||
PCT|PCT||
PCU|PCU||
PCV|PCV|Пунта-Шивато|Пунта-Шивато
PDA|PDA|Пуэрто-Инирида|Пуэрто-Инирида
PDB|PDB||
PDC|PDC|Муэо|Муэо
